"stock","ridge","lasso","en1","en2","adlasso","ridge_dcsis","lasso_dcsis","en1_dcsis","en2_dcsis","adlasso_dcsis"
"ALBEMARLE",0.000887878241615714,0.00075591971240341,0.000753777904298293,0.000751813110622912,0,0.000512277214588575,0.000217035435842345,0.000288802837095708,0.000286682438453766,0
"ALLEGION",0.000374008606754422,0,0,0,0,NA,NA,NA,NA,NA
"ALLIANT ENERGY (XSC)",0,0,0,0,0,NA,NA,NA,NA,NA
"AMERICAN AIRLINES GROUP",0.00638427300105159,0.0073888721944812,0.00737688424042398,0.00737327354426703,0.0081217565422159,NA,NA,NA,NA,NA
"APA",0,0,0,0,0,NA,NA,NA,NA,NA
"BATH AND BODY WORKS",0.00062909676278673,0.00113877191600256,0.00113368069861567,0.00112928311382765,0,0.000825561306930629,0,0,0,0
"BIO-TECHNE",0,0,0,0,0,NA,NA,NA,NA,NA
"BOSTON PROPERTIES",0,0,0,0,0,NA,NA,NA,NA,NA
"BUNGE GLOBAL",0,0,0,0,0,NA,NA,NA,NA,NA
"CAMDEN PROPERTY TST.",0,0,0,0,0,NA,NA,NA,NA,NA
"CAMPBELL SOUP",0.001818757031126,0.00162513416850847,0.00162284950205011,0.00162457078861639,0.000580264063995007,NA,NA,NA,NA,NA
"CARMAX",0,0,0,0,0,0.00161572043702416,NA,NA,NA,0.000269703638441881
"CATALENT",0,0,0,0,0,0,0,0,0,0
"CHAS.RVR.LABS.INTL.",0,0,0,0,0,NA,NA,NA,NA,NA
"CONAGRA BRANDS",0.00286589790860423,0.00318510779478972,0.00318329107020162,0.00318136322717992,0.00423204149283247,NA,NA,NA,NA,NA
"DAVITA",0,0,0,0,0,0.00235156378097044,0.00342227073029556,0.00333635096566833,0.0032837527203501,0.00287907699291944
"EASTMAN CHEMICAL",0,0,0,0,0,NA,NA,NA,NA,NA
"EVERGY",0,0,0,0,0,0.00145966988448314,0,0,0,0
"F5",0,0,0,0,0,0.00304686909055028,0.00280196084236439,0.00265107697416404,0.00260988368823681,0.00262113702043544
"FMC",0,0,0,0,0,0,0,0,0,0
"FRANKLIN RESOURCES",0.00183896202041032,0.00170862649171969,0.00171427872260213,0.00170983962539471,0.000122151659084451,0.0020789397520788,0.00511728689445969,0.00495603868270002,0.00487048259155599,0.000521842518004258
"GLOBE LIFE",0.00421355198903183,0.00350568311690812,0.00351014994489081,0.00349306884041412,0.00403291689877424,NA,NA,NA,NA,NA
"HEALTHPEAK PROPERTIES",0,0,0,0,0,NA,NA,NA,NA,NA
"HNTGTN.INGALLS INDS.",0,0,0,0,0,NA,NA,NA,NA,NA
"HOST HOTELS & RESORTS REIT",0.000968159392105411,0.000678117663799482,0.000676444316826746,0.000671161595730404,0,NA,NA,NA,NA,NA
"INCYTE",0,0,0,0,0,NA,NA,NA,NA,NA
"INSULET",0.00241517934721408,0.00314530684836266,0.00313971542717003,0.00313927726854121,0.00398198014359537,0.000827734293889175,2.66630142569406e-05,1.55438101465447e-05,2.42250357504952e-05,0
"INTERNATIONAL PAPER",0,0,0,0,0,NA,NA,NA,NA,NA
"INTERPUBLIC GROUP",0,0,0,0,0,NA,NA,NA,NA,NA
"J M SMUCKER",0.0015016404232413,0.00140655248164975,0.00139447636782015,0.00139656946221768,0,0.00468341476163278,0.00421367157481997,0.00416147899184397,0.00411857764838629,0.00597262595230209
"JACK HENRY AND ASSOCIATES",0,0,0,0,0,0.000214380711008798,0,0,0,0
"JUNIPER NETWORKS",0,0,0,0,0,NA,NA,NA,NA,NA
"KEYCORP",0,0,0,0,0,NA,NA,NA,NA,NA
"KIMCO REALTY",0,0,0,0,0,NA,NA,NA,NA,NA
"LAMB WESTON HOLDINGS",0,0,0,0,0,0,0,0,0,0
"LKQ",0,0,0,0,0,0.000936785135348947,0,0,0,0
"MGM RESORTS INTL.",0,0,0,0,0,NA,NA,NA,NA,NA
"MOLSON COORS BEVERAGE COMPANY B",0.000654584085123165,0.000912650483622863,0.000913317860895352,0.000908317557809395,0,NA,NA,NA,NA,NA
"MOSAIC",0,0,0,0,0,0.00108124653531329,0.000973859800638923,0.00105773664819627,0.00107762748913809,0
"NEWS 'A'",0,0,0,0,0,NA,NA,NA,NA,NA
"NISOURCE",0,0,0,0,0,NA,NA,NA,NA,NA
"NRG ENERGY",0,0,0,0,0,0,0,0,0,0
"PAYCOM SOFTWARE",0,0,0,0,0,0,0,0,0,0
"PENTAIR",0.000978791883143183,0.000613412068393399,0.000609332358216607,0.000607421901237814,0,0.000657132424256961,0.00293141972508712,0.00265117181837327,0.00255336243569095,0
"QORVO",0,0,0,0,0,NA,NA,NA,NA,NA
"QUEST DIAGNOSTICS",0,0,0,0,0,NA,NA,NA,NA,NA
"REGENCY CENTERS",0,0,0,0,0,0,0.000916610117356845,0.000943603266394367,0.000906017190095377,0
"REVVITY",0,0,0,0,0,0.00158547710759666,0.00285439713815742,0.00297235013188159,0.00294608302173635,0
"STANLEY BLACK & DECKER",0,0,0,0,0,NA,NA,NA,NA,NA
"TAPESTRY",0,0,0,0,0,0.00226000015874783,0.00133675186583465,0.00132097472852739,0.0012966234727118,0.00263833183132335
"TELEFLEX",0,0,0,0,0,NA,NA,NA,NA,NA
"UDR",0.00134788846261021,0.00218160800699793,0.00217228208483835,0.00220538960739233,0,NA,NA,NA,NA,NA
"UNIVERSAL HEALTH SVS.'B'",0,0.000556298297783399,0.000553984049782301,0.000556928995480314,0,0,0,0,0,0
"V F",0,0,0,0,0,NA,NA,NA,NA,NA
"VIATRIS",0.00211413695301495,0.00224337130725459,0.00224117095103708,0.00223936520983905,0.00194681941412004,0.00382005540316984,0.0026568634691147,0.00266360094838287,0.0026116417174809,0.00450826091444775
"WESTROCK",0,0,0,0,0,NA,NA,NA,NA,NA
"WYNN RESORTS",0,0,0,0,0,0.000434798034154251,0,0,0,0
"ZEBRA TECHNOLOGIES 'A'",0,0,0,0,0,NA,NA,NA,NA,NA
"ASSURANT",0,0,0,0,0,0,0.000297032026821732,0.000194852609511608,0.00014652013134959,0
"BIO-RAD LABORATORIES 'A'",0,0,0,0,0,0.0023383076384808,0,0,0,0.0023031361415032
"BORGWARNER",0,0,0,0,0,NA,NA,NA,NA,NA
"CAESARS ENTERTAINMENT",0,0,0,0,0,NA,NA,NA,NA,NA
"CH ROBINSON WWD.",0.000957037795067833,0.000745202994477033,0.0007403727883162,0.000740113992262451,0,NA,NA,NA,NA,NA
"COMERICA",0,0,0,0,0,NA,NA,NA,NA,NA
"DENTSPLY SIRONA",0,0,0,0,0,NA,NA,NA,NA,NA
"ETSY",0,0,0,0,0,0.000469323955135796,0,0,0,0
"GENERAC HOLDINGS",0.00330458796568386,0.00317450733548284,0.00317407098975382,0.00317144884108363,0.00337941925674957,NA,NA,NA,NA,NA
"HASBRO",0,0,0,0,0,NA,NA,NA,NA,NA
"HENRY SCHEIN",0.00224245494681769,0.00236874125637026,0.00236553581669856,0.00236339516026677,0.00215710681609032,0.00331760436751027,0.00340320248019177,0.00344873644587021,0.00344476676739674,0.0022200965466706
"INVESCO",0,0,0,0,0,NA,NA,NA,NA,NA
"MARKETAXESS HOLDINGS",0.00132517617306609,0.00159859375240022,0.00159053942767277,0.00159402281654267,0.00024964933634834,NA,NA,NA,NA,NA
"MATCH GROUP",0,0,0,0,0,NA,NA,NA,NA,NA
"MOHAWK INDUSTRIES",0,0,0,0,0,NA,NA,NA,NA,NA
"NORWEGIAN CRUISE LINE HDG.",0,0,0,0,0,NA,NA,NA,NA,NA
"PARAMOUNT GLOBAL B",0,0,0,0,0,NA,NA,NA,NA,NA
"PINNACLE WEST CAP.",0,5.79620447868069e-05,4.95952120609438e-05,4.98049327168408e-05,0,NA,NA,NA,NA,NA
"RALPH LAUREN CL.A",0,0,0,0,0,0.000824387133859346,0,0,0,0
"ROBERT HALF",0,0,0,0,0,NA,NA,NA,NA,NA
"WHIRLPOOL",0,0,0,0,0,NA,NA,NA,NA,NA
"ZIONS BANCORP.",0,0,0,0,0,0,0,0,0,0
"ALPHABET 'C'",0.0181671051247252,0,0,0,0,0.0293529913063753,0.029783054029907,0.029862919429312,0.0297196185775864,0.0292914925374508
"BERKSHIRE HATHAWAY 'B'",0.029657501302508,0.0332728128637675,0.0332911363288342,0.0332775684487087,0.0342621406185676,0.0298075480619062,0.0348631483025256,0.0342615687414979,0.0338413133319725,0.0344333504712339
"NEWS 'B'",0.00313782585691022,0.00340042958931703,0.00339725210205419,0.00339853754701163,0.00445273501559203,NA,NA,NA,NA,NA
